"go_id","go_name","aspect","n_pathway","n_matched","dsge","p_value","p_adj"
"GO:0008138","protein tyrosine/serine/threonine phosphatase activity","MF",21,18,0.477416183548376,0.4069,0.734320905459387
"GO:0015909","long-chain fatty acid transport","BP",18,17,0.490318368935296,0.408,0.734320905459387
"GO:0032587","ruffle membrane","CC",102,101,0.19767215015548,0.4081,0.734320905459387
"GO:0034704","calcium channel complex","CC",27,27,0.386150621500926,0.4084,0.734320905459387
"GO:0046676","negative regulation of insulin secretion","BP",25,25,0.403040597459174,0.4074,0.734320905459387
"GO:0032007","negative regulation of TOR signaling","BP",34,29,0.372606871734701,0.4097,0.735857712765957
"GO:0035196","miRNA processing","BP",24,18,0.476480921494669,0.4099,0.735857712765957
"GO:0001708","cell fate specification","BP",136,23,0.420102038302979,0.4108,0.736363636363636
"GO:0051302","regulation of cell division","BP",21,20,0.451088055529208,0.411,0.736363636363636
"GO:1900026","positive regulation of substrate adhesion-dependent cell spreading","BP",41,37,0.329124832466129,0.4109,0.736363636363636
"GO:0061709","reticulophagy","BP",25,25,0.401740153225057,0.4131,0.739635278514589
"GO:0008016","regulation of heart contraction","BP",32,28,0.379581316605627,0.4136,0.739907284768212
"GO:0051290","protein heterotetramerization","BP",16,16,0.504930024197287,0.4138,0.739907284768212
"GO:0005637","nuclear inner membrane","CC",56,52,0.276866845495248,0.4145,0.740668431502316
"GO:0000086","G2/M transition of mitotic cell cycle","BP",47,45,0.297755128273641,0.415,0.741071428571429
"GO:0061133","endopeptidase activator activity","MF",23,18,0.475174198023058,0.4156,0.741652346331791
"GO:0007154","cell communication","BP",87,79,0.223560650466174,0.416,0.741875825627477
"GO:0030296","protein tyrosine kinase activator activity","MF",18,17,0.487830058229713,0.4164,0.74209900990099
"GO:0002230","positive regulation of defense response to virus by host","BP",31,30,0.365237464701148,0.4178,0.742809430255403
"GO:0006284","base-excision repair","BP",43,41,0.311495820351937,0.4201,0.742809430255403
"GO:0006491","N-glycan processing","BP",21,18,0.473637421345929,0.4194,0.742809430255403
"GO:0007162","negative regulation of cell adhesion","BP",46,40,0.315425467891371,0.4194,0.742809430255403
"GO:0010507","negative regulation of autophagy","BP",62,59,0.259371732336708,0.4188,0.742809430255403
"GO:0016460","myosin II complex","CC",25,22,0.427642724541609,0.4201,0.742809430255403
